"Energy (eV)";"Total";"Y 1s";"Y 2pz";"Y 2px";"Y 2py";"Y 3dz2";"Y 3dzx";"Y 3dzy";"Y 3dx2-y2";"Y 3dxy";"Y 4s";"Y 5pz";"Y 5px";"Y 5py";"Sn 1dz2";"Sn 1dzx";"Sn 1dzy";"Sn 1dx2-y2";"Sn 1dxy";"Sn 2s";"Sn 3pz";"Sn 3px";"Sn 3py";"Nb 1s";"Nb 2pz";"Nb 2px";"Nb 2py";"Nb 3dz2";"Nb 3dzx";"Nb 3dzy";"Nb 3dx2-y2";"Nb 3dxy";"Nb 4s";"Nb 5pz";"Nb 5px";"Nb 5py"
-40,68;38,9;0,00000133;0,0000282;1,99e-17;1,99e-17;0,00048;3,75e-16;3,75e-16;0,00911;0,00911;0,049;0,211;9,65e-16;9,65e-16;0,0002798;0,000748;0,000748;0,0004412;0,0004412;0,01056;0,1655;0,066;0,066;36,3;0,0001914;2,248e-16;2,248e-16;0,174;1,076e-15;1,078e-15;0,2728;0,2726;1,254;0,001884;7,42e-15;7,4e-15
-40,63;38,8;7,05e-7;0,000015;2,18e-17;2,18e-17;0,000255;3,67e-16;3,67e-16;0,0107;0,0107;0,0261;0,112;1,01e-15;1,01e-15;0,0001488;0,000876;0,000876;0,0005164;0,0005164;0,005622;0,08822;0,0772;0,0772;36,18;0,000129;2,242e-16;2,242e-16;0,1494;1,07e-15;1,072e-15;0,302;0,302;1,386;0,001008;7,16e-15;7,16e-15
-40,58;31,9;2,86e-7;0,00000611;1,89e-17;1,89e-17;0,000104;2,98e-16;2,98e-16;0,00952;0,00952;0,0106;0,0456;8,51e-16;8,51e-16;0,00006044;0,000782;0,000782;0,0004602;0,0004602;0,002286;0,03586;0,069;0,069;29,76;0,0000768;1,844e-16;1,846e-16;0,1116;8,812e-16;8,82e-16;0,2628;0,2628;1,2;0,000411;5,772e-15;5,77e-15
-40,53;20,9;8,88e-8;0,0000019;1,27e-17;1,27e-17;0,0000321;1,94e-16;1,94e-16;0,00649;0,00649;0,00328;0,0142;5,65e-16;5,65e-16;0,00001878;0,000534;0,000534;0,0003144;0,0003144;0,0007086;0,01114;0,047;0,047;19,5;0,0000402;1,208e-16;1,21e-16;0,0696;5,78e-16;5,764e-16;0,1771;0,1768;0,81;0,000129;3,742e-15;3,74e-15
-40,48;10,7;2,1e-8;4,5e-7;6,57e-18;6,57e-18;0,0000076;9,9e-17;9,9e-17;0,00338;0,00338;0,000776;0,00336;2,9e-16;2,9e-16;0,000004442;0,0002772;0,0002772;0,0001634;0,0001634;0,0001676;0,002636;0,02442;0,02442;9,96;0,00001806;6,16e-17;6,18e-17;0,03456;2,942e-16;2,944e-16;0,0917;0,09164;0,4182;0,00003132;1,9e-15;1,9e-15
-40,43;4,2;3,79e-9;8,14e-8;2,6e-18;2,6e-18;0,00000137;3,89e-17;3,89e-17;0,00134;0,00134;0,00014;0,000607;1,15e-16;1,15e-16;8,014e-7;0,00011;0,00011;0,00006502;0,00006502;0,00003026;0,0004758;0,0097;0,0097;3,924;0,00000666;2,43e-17;2,432e-17;0,01344;1,158e-16;1,158e-16;0,03628;0,03632;0,1656;0,000005964;7,48e-16;7,46e-16
-40,38;1,27;5,23e-10;1,12e-8;7,87e-19;7,87e-19;1,89e-7;1,17e-17;1,17e-17;0,000406;0,000406;0,0000193;0,0000838;3,47e-17;3,47e-17;1,106e-7;0,00003336;0,00003336;0,00001967;0,00001967;0,00000417;0,0000657;0,002942;0,002942;1,182;0,00000195;7,36e-18;7,34e-18;0,004032;3,498e-17;3,498e-17;0,01097;0,01098;0,05016;9,18e-7;2,254e-16;2,252e-16
-40,33;0,293;5,5e-11;1,18e-9;1,82e-19;1,82e-19;1,99e-8;2,71e-18;2,71e-18;0,0000941;0,0000941;0,00000203;0,00000883;8,02e-18;8,02e-18;1,164e-8;0,00000772;0,00000772;0,000004554;0,000004554;4,388e-7;0,000006946;0,00068;0,00068;0,2736;4,434e-7;1,694e-18;1,696e-18;0,00093;8,094e-18;8,1e-18;0,00254;0,00254;0,01158;1,176e-7;5,204e-17;5,204e-17
-40,28;0,0517;4,42e-12;9,52e-11;3,21e-20;3,21e-20;1,6e-9;4,78e-19;4,78e-19;0,0000166;0,0000166;1,63e-7;7,11e-7;1,42e-18;1,42e-18;9,38e-10;0,000001364;0,000001364;8,05e-7;8,05e-7;3,526e-8;5,578e-7;0,0001202;0,0001202;0,0483;7,8e-8;2,994e-19;2,992e-19;0,0001638;1,428e-18;1,426e-18;0,0004466;0,000448;0,002046;1,326e-8;9,18e-18;9,18e-18
-40,23;0,00696;2,71e-13;5,85e-12;4,33e-21;4,33e-21;9,81e-11;6,44e-20;6,44e-20;0,00000224;0,00000224;1e-8;4,36e-8;1,91e-19;1,91e-19;5,75e-11;1,838e-7;1,838e-7;1,085e-7;1,085e-7;2,162e-9;3,429e-8;0,0000162;0,0000162;0,00648;1,044e-8;4,034e-20;4,032e-20;0,00002202;1,92e-19;1,922e-19;0,00006026;0,0000604;0,000276;1,326e-9;1,238e-18;1,238e-18
